"Step","leafy-salad-353 - sim. loss","leafy-salad-353 - sim. loss__MIN","leafy-salad-353 - sim. loss__MAX","northern-elevator-345 - sim. loss","northern-elevator-345 - sim. loss__MIN","northern-elevator-345 - sim. loss__MAX"
"2","3.1964022132986245","3.1964022132986245","3.1964022132986245","1.3606128437143041","1.3606128437143041","1.3606128437143041"
"6","2.559289441523431","2.559289441523431","2.559289441523431","1.3500231086240428","1.3500231086240428","1.3500231086240428"
"10","2.459886387988919","2.459886387988919","2.459886387988919","1.3481668498284907","1.3481668498284907","1.3481668498284907"
"14","2.4234266100552895","2.4234266100552895","2.4234266100552895","1.347233388903138","1.347233388903138","1.347233388903138"
"18","2.3705176897362477","2.3705176897362477","2.3705176897362477","1.3462020505531302","1.3462020505531302","1.3462020505531302"
"22","2.3118096215497737","2.3118096215497737","2.3118096215497737","1.1696038971679488","1.1696038971679488","1.1696038971679488"
"26","2.2755625235057106","2.2755625235057106","2.2755625235057106","0.5808390008004268","0.5808390008004268","0.5808390008004268"
"30","2.283117987640292","2.283117987640292","2.283117987640292","0.561157764604178","0.561157764604178","0.561157764604178"
"34","2.2207093650085254","2.2207093650085254","2.2207093650085254","0.5524155896651561","0.5524155896651561","0.5524155896651561"
"38","2.223216897092955","2.223216897092955","2.223216897092955","0.5491380766561217","0.5491380766561217","0.5491380766561217"
"42","2.216872404329091","2.216872404329091","2.216872404329091","0.5466859146078279","0.5466859146078279","0.5466859146078279"
"46","2.1933544590430514","2.1933544590430514","2.1933544590430514","0.5469428627157628","0.5469428627157628","0.5469428627157628"
"50","2.188159721075273","2.188159721075273","2.188159721075273","0.5416832812691648","0.5416832812691648","0.5416832812691648"
"54","2.1876017645503696","2.1876017645503696","2.1876017645503696","0.5367781811711989","0.5367781811711989","0.5367781811711989"
"58","2.153733400717111","2.153733400717111","2.153733400717111","0.5367394553910579","0.5367394553910579","0.5367394553910579"
"62","2.1654251444801114","2.1654251444801114","2.1654251444801114","0.5366941622481265","0.5366941622481265","0.5366941622481265"
"66","2.1464117083309393","2.1464117083309393","2.1464117083309393","0.536770500568266","0.536770500568266","0.536770500568266"
"70","2.15429487260143","2.15429487260143","2.15429487260143","0.5329640522332575","0.5329640522332575","0.5329640522332575"
"74","2.165062417896698","2.165062417896698","2.165062417896698","0.5304994121522543","0.5304994121522543","0.5304994121522543"
"78","2.1616489132195773","2.1616489132195773","2.1616489132195773","0.5272869230978597","0.5272869230978597","0.5272869230978597"
"82","2.146839619476598","2.146839619476598","2.146839619476598","0.5323836189406741","0.5323836189406741","0.5323836189406741"
"86","2.124125326766206","2.124125326766206","2.124125326766206","0.5280657290693029","0.5280657290693029","0.5280657290693029"
"90","2.1464706291221747","2.1464706291221747","2.1464706291221747","0.5254856466354055","0.5254856466354055","0.5254856466354055"
"94","2.1137402432192083","2.1137402432192083","2.1137402432192083","0.5262900932327291","0.5262900932327291","0.5262900932327291"
"98","2.11227494450941","2.11227494450941","2.11227494450941","0.5278589212790262","0.5278589212790262","0.5278589212790262"
"102","2.0950524329742293","2.0950524329742293","2.0950524329742293","0.5227393023778238","0.5227393023778238","0.5227393023778238"
"106","2.1320845334667786","2.1320845334667786","2.1320845334667786","0.5233903824662944","0.5233903824662944","0.5233903824662944"
"110","2.1040171997476707","2.1040171997476707","2.1040171997476707","0.5223461155017316","0.5223461155017316","0.5223461155017316"
"114","2.1219010568389383","2.1219010568389383","2.1219010568389383","","",""
"118","2.11721873055187","2.11721873055187","2.11721873055187","","",""